#Campaign GEM 2008/2009 Modeling Challenge
#Event 1
#Metrics 4
#Instrument YKC
#Submission Observation
#ModelSettingID
#RORnumber
Year Month Day Hour Min Sec GeomagLat GeomagLon dBdt_NorthGeomag dBdt_EastGeomag dBdt_DownGeomag
[year]  [month]  [day] [hour]  [min]  [s] [deg] [deg] [nT/s] [nT/s] [nT/s]
2003 10 29 1 14 30     69.0000    -61.4000     -0.1067     -0.0950     -0.0033
2003 10 29 1 15 30     69.0000    -61.4000      0.0200      0.0333     -0.0533
2003 10 29 1 16 30     69.0000    -61.4000      0.1467      0.0150     -0.1900
2003 10 29 1 17 30     69.0000    -61.4000      0.1733      0.0967     -0.2067
2003 10 29 1 18 30     69.0000    -61.4000      0.1283      0.0867     -0.2433
2003 10 29 1 19 30     69.0000    -61.4000      0.1800      0.0767     -0.1767
2003 10 29 1 20 30     69.0000    -61.4000      0.1717     -0.0283     -0.1117
2003 10 29 1 21 30     69.0000    -61.4000      0.0983      0.0083      0.0033
2003 10 29 1 22 30     69.0000    -61.4000      0.2767      0.1267      0.0517
2003 10 29 1 23 30     69.0000    -61.4000      0.0167     -0.0100      0.0300
2003 10 29 1 24 30     69.0000    -61.4000     -0.1417     -0.1133      0.0050
2003 10 29 1 25 30     69.0000    -61.4000     -0.1817      0.2900     -0.0017
2003 10 29 1 26 30     69.0000    -61.4000     -0.4150     -0.2550      0.3483
2003 10 29 1 27 30     69.0000    -61.4000     -0.5217     -0.1033      0.4050
2003 10 29 1 28 30     69.0000    -61.4000     -0.3450     -0.2350      0.3500
2003 10 29 1 29 30     69.0000    -61.4000     -0.1233     -0.1600      0.0117
2003 10 29 1 30 30     69.0000    -61.4000      0.2667     -0.0617     -0.1933
2003 10 29 1 31 30     69.0000    -61.4000      0.2350      0.1467     -0.1500
2003 10 29 1 32 30     69.0000    -61.4000      0.1450      0.0167     -0.0367
2003 10 29 1 33 30     69.0000    -61.4000      0.0450     -0.0950     -0.1300
2003 10 29 1 34 30     69.0000    -61.4000      0.1100     -0.2133     -0.2717
2003 10 29 1 35 30     69.0000    -61.4000      0.2183     -0.2283      0.0050
2003 10 29 1 36 30     69.0000    -61.4000      0.3367      0.1417     -0.1450
2003 10 29 1 37 30     69.0000    -61.4000      0.3817      0.2433      0.4233
2003 10 29 1 38 30     69.0000    -61.4000     -0.0133      0.0017      0.1800
2003 10 29 1 39 30     69.0000    -61.4000      0.0617     -0.0533     -0.1583
2003 10 29 1 40 30     69.0000    -61.4000      0.1250     -0.0217     -0.3267
2003 10 29 1 41 30     69.0000    -61.4000      0.0300     -0.1150     -0.4367
2003 10 29 1 42 30     69.0000    -61.4000      0.1417     -0.1683     -0.0033
2003 10 29 1 43 30     69.0000    -61.4000      0.2733      0.1767     -0.0983
2003 10 29 1 44 30     69.0000    -61.4000      0.2250      0.0200      0.2100
2003 10 29 1 45 30     69.0000    -61.4000      0.0633      0.1133      0.0467
2003 10 29 1 46 30     69.0000    -61.4000     -0.0633      0.0817     -0.0250
2003 10 29 1 47 30     69.0000    -61.4000      0.0483      0.0633      0.2950
2003 10 29 1 48 30     69.0000    -61.4000      0.0867      0.0367      0.2267
2003 10 29 1 49 30     69.0000    -61.4000     -0.0817      0.1717      0.1300
2003 10 29 1 50 30     69.0000    -61.4000     -0.0650      0.2500      0.0567
2003 10 29 1 51 30     69.0000    -61.4000     -0.2200      0.0683      0.0167
2003 10 29 1 52 30     69.0000    -61.4000     -0.3100      0.0733     -0.3900
2003 10 29 1 53 30     69.0000    -61.4000     -0.1283      0.0083     -0.2650
2003 10 29 1 54 30     69.0000    -61.4000     -0.2750     -0.2767     -0.0833
2003 10 29 1 55 30     69.0000    -61.4000      0.0150     -0.0600      0.0217
2003 10 29 1 56 30     69.0000    -61.4000      0.0200      0.2500      0.1250
2003 10 29 1 57 30     69.0000    -61.4000      0.1633     -0.0283      0.1283
2003 10 29 1 58 30     69.0000    -61.4000     -0.1117     -0.1533      0.0417
2003 10 29 1 59 30     69.0000    -61.4000     -0.2233     -0.0417      0.0150
2003 10 29 2 0 30     69.0000    -61.4000     -0.1633      0.0833      0.0450
2003 10 29 2 1 30     69.0000    -61.4000     -0.1450      0.1283      0.0567
2003 10 29 2 2 30     69.0000    -61.4000     -0.0850     -0.0033      0.0150
2003 10 29 2 3 30     69.0000    -61.4000     -0.2183     -0.0250      0.1550
2003 10 29 2 4 30     69.0000    -61.4000     -0.1967     -0.0517      0.1783
2003 10 29 2 5 30     69.0000    -61.4000     -0.0533      0.1017      0.0567
2003 10 29 2 6 30     69.0000    -61.4000      0.0050      0.1100     -0.1133
2003 10 29 2 7 30     69.0000    -61.4000     -0.1300     -0.1400     -0.0333
2003 10 29 2 8 30     69.0000    -61.4000     -0.0617     -0.1717      0.0867
2003 10 29 2 9 30     69.0000    -61.4000     -0.1550     -0.0500      0.1267
2003 10 29 2 10 30     69.0000    -61.4000     -0.1233     -0.1433      0.1333
2003 10 29 2 11 30     69.0000    -61.4000      0.0250     -0.1967     -0.1217
2003 10 29 2 12 30     69.0000    -61.4000      0.0550      0.0267     -0.1350
2003 10 29 2 13 30     69.0000    -61.4000     -0.1150      0.1600     -0.0833
2003 10 29 2 14 30     69.0000    -61.4000     -0.2233     -0.0467      0.0900
2003 10 29 2 15 30     69.0000    -61.4000     -0.3300     -0.0050      0.2783
2003 10 29 2 16 30     69.0000    -61.4000     -0.3600      0.0367      0.1433
2003 10 29 2 17 30     69.0000    -61.4000     -0.1367     -0.0500      0.0833
2003 10 29 2 18 30     69.0000    -61.4000     -0.1267     -0.1350      0.0617
2003 10 29 2 19 30     69.0000    -61.4000     -0.1483     -0.2883     -0.0383
2003 10 29 2 20 30     69.0000    -61.4000     -0.0767      0.0383     -0.2217
2003 10 29 2 21 30     69.0000    -61.4000     -0.0067      0.1250     -0.1567
2003 10 29 2 22 30     69.0000    -61.4000      0.0400      0.0750     -0.0150
2003 10 29 2 23 30     69.0000    -61.4000      0.1750      0.0883     -0.0983
2003 10 29 2 24 30     69.0000    -61.4000      0.0650     -0.0167     -0.1483
2003 10 29 2 25 30     69.0000    -61.4000     -0.0083      0.0567     -0.0850
2003 10 29 2 26 30     69.0000    -61.4000     -0.0133      0.0117     -0.2717
2003 10 29 2 27 30     69.0000    -61.4000      0.1850      0.0517     -0.0533
2003 10 29 2 28 30     69.0000    -61.4000      0.0133      0.0817     -0.1467
2003 10 29 2 29 30     69.0000    -61.4000     -0.2783     -0.0817     -0.1617
2003 10 29 2 30 30     69.0000    -61.4000     -0.4300      0.0933     -0.0617
2003 10 29 2 31 30     69.0000    -61.4000     -0.2500     -0.1083     -0.1200
2003 10 29 2 32 30     69.0000    -61.4000     -0.0483     -0.0783      0.1200
2003 10 29 2 33 30     69.0000    -61.4000      0.0417     -0.0400     -0.0133
2003 10 29 2 34 30     69.0000    -61.4000     -0.2733      0.0067      0.0050
2003 10 29 2 35 30     69.0000    -61.4000     -0.4083     -0.1867      0.1233
2003 10 29 2 36 30     69.0000    -61.4000     -0.0867     -0.1783      0.0467
2003 10 29 2 37 30     69.0000    -61.4000     -0.1900      0.0167      0.1350
2003 10 29 2 38 30     69.0000    -61.4000     -0.4333      0.3517     -0.1167
2003 10 29 2 39 30     69.0000    -61.4000     -0.4333      0.6667     -0.4000
2003 10 29 2 40 30     69.0000    -61.4000      0.1450      0.1300     -0.9417
2003 10 29 2 41 30     69.0000    -61.4000      0.4450      0.0967     -0.6550
2003 10 29 2 42 30     69.0000    -61.4000      0.1450      0.1383     -0.8200
2003 10 29 2 43 30     69.0000    -61.4000      0.3000     -0.4117     -0.4400
2003 10 29 2 44 30     69.0000    -61.4000     -0.1267     -0.7100      0.3200
2003 10 29 2 45 30     69.0000    -61.4000     -0.0417     -0.7767      0.3267
2003 10 29 2 46 30     69.0000    -61.4000      0.2783     -0.9117      0.0967
2003 10 29 2 47 30     69.0000    -61.4000      0.2183     -0.3117      0.4433
2003 10 29 2 48 30     69.0000    -61.4000      0.1667      0.2667      0.4467
2003 10 29 2 49 30     69.0000    -61.4000      0.2483      0.1300      0.1567
2003 10 29 2 50 30     69.0000    -61.4000      0.3100      0.0800      0.5467
